epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,546.753,1.94806,2.16296,1.64774,0.00505,1.0438,0.47466,0.42563,0.4173,0.21234,0.34659,0.41946,0.33553,0.15212,2.05322,2.12034,1.64407,0.00572,0,0.000951779,0.000951779,0.000951779
51,557.357,1.96867,2.25983,1.71222,0.0045,1.06275,0.58281,0.38833,0.45125,0.24101,0.55402,0.34692,0.37978,0.17119,2.01671,2.12892,1.54445,0.00572,0,0.000940625,0.000940625,0.000940625
52,572.521,1.97645,2.19587,1.65831,0.00473,1.05343,0.51055,0.39542,0.42522,0.22261,0.48316,0.34868,0.39656,0.18419,2.00073,2.22268,1.64398,0.00546,0,0.000929335,0.000929335,0.000929335
53,590.472,1.95872,2.06294,1.63732,0.00477,1.0375,0.59135,0.3954,0.44402,0.22819,0.51926,0.31201,0.35901,0.16598,1.98695,2.25626,1.54061,0.0055,0,0.000917914,0.000917914,0.000917914
54,609.878,1.84794,2.01053,1.60114,0.0047,1.03334,0.61294,0.36423,0.4152,0.21623,0.47882,0.3252,0.36201,0.15213,2.03861,2.09856,1.5632,0.00562,0,0.000906368,0.000906368,0.000906368
55,629.224,1.94533,2.04659,1.54392,0.00457,0.90853,0.59781,0.39459,0.43324,0.23806,0.53,0.37415,0.38768,0.16887,2.00081,2.06435,1.53358,0.0052,0,0.000894701,0.000894701,0.000894701
56,648.456,1.93184,2.06562,1.60247,0.00455,0.9487,0.55872,0.39486,0.48428,0.25307,0.48695,0.33416,0.37479,0.16064,1.9578,2.09016,1.52337,0.00523,0,0.000882918,0.000882918,0.000882918
57,667.995,1.93517,2.07362,1.58294,0.00439,1.01155,0.50259,0.46469,0.44138,0.23877,0.45867,0.41356,0.40058,0.18189,2.00378,2.16031,1.55414,0.00537,0,0.000871025,0.000871025,0.000871025
58,686.948,1.93309,2.12074,1.56469,0.00474,0.95384,0.48273,0.44791,0.43668,0.23752,0.45773,0.32026,0.35421,0.16683,2.00007,2.14868,1.5245,0.00522,0,0.000859027,0.000859027,0.000859027
59,697.915,1.95383,2.21474,1.63014,0.00489,0.94962,0.49564,0.44776,0.46376,0.25379,0.4315,0.35458,0.35316,0.14459,2.0219,2.19151,1.51874,0.00527,0,0.000846929,0.000846929,0.000846929
60,708.188,1.88085,2.10482,1.64098,0.00468,0.85936,0.52371,0.44614,0.46017,0.24989,0.4257,0.44466,0.39656,0.17387,2.03369,2.1786,1.50333,0.00553,0,0.000834736,0.000834736,0.000834736
61,718.617,1.84032,2.02967,1.52451,0.0046,0.81715,0.44615,0.48593,0.46882,0.25415,0.37274,0.4167,0.36998,0.16752,2.00305,2.18401,1.45799,0.00537,0,0.000822454,0.000822454,0.000822454
62,729.109,1.88134,2.10041,1.51186,0.00454,0.81971,0.43081,0.50234,0.46795,0.25599,0.5411,0.29982,0.35003,0.15354,1.98683,2.21128,1.40964,0.00531,0,0.000810088,0.000810088,0.000810088
63,739.235,1.96209,2.21548,1.5741,0.00461,0.82524,0.42895,0.50253,0.4424,0.24297,0.37922,0.45355,0.36609,0.15434,1.94186,2.17618,1.49353,0.00498,0,0.000797644,0.000797644,0.000797644
64,749.646,1.85392,1.97541,1.47221,0.00449,0.75846,0.60173,0.41894,0.47491,0.24029,0.49074,0.33185,0.35738,0.1472,1.94961,2.1466,1.52502,0.00503,0,0.000785127,0.000785127,0.000785127
65,760.116,1.82578,1.95617,1.4318,0.00434,0.78884,0.52907,0.41409,0.46448,0.25542,0.47983,0.32451,0.35518,0.15314,1.94682,2.07045,1.53011,0.00517,0,0.000772542,0.000772542,0.000772542
66,770.337,1.92848,2.05284,1.5496,0.00435,0.8246,0.45312,0.54771,0.48129,0.2542,0.43087,0.36006,0.3666,0.14462,2.00602,2.12838,1.62917,0.00528,0,0.000759895,0.000759895,0.000759895
